txHash;EtherscanUrl;txType;creditAmount;creditAsset;debitAmount;debitAsset;Memo;creditAccount;debitAccount;txFeeAsset;txFeeAmount;txFeeAccount;dateTime;timestamp
0xe7fae90a354d40c9d9ee7bb4f3c41881a07789ba466fcf14e24d6eb546587e2d;https://etherscan.io/tx/0xe7fae90a354d40c9d9ee7bb4f3c41881a07789ba466fcf14e24d6eb546587e2d;Withdrawl;159,24788674989918;UNI-V2;159,24788674989918;UNI-V2;Withdrawal 159.24788674989918 UNI-V2 To SushiSwap: MasterChef LP Staking Pool;0x915f68fdfe1970fc94daa5d1c0dcc89ab6f9f085;0xc2edad668740f1aa35e4d8f227fb8e17dca888cd (SushiSwap: MasterChef LP Staking Pool);Ether;0,012513105;0x915f68fdfe1970fc94daa5d1c0dcc89ab6f9f085;2020-08-30T22:17:22Z;1598815042
0xe7fae90a354d40c9d9ee7bb4f3c41881a07789ba466fcf14e24d6eb546587e2d;https://etherscan.io/tx/0xe7fae90a354d40c9d9ee7bb4f3c41881a07789ba466fcf14e24d6eb546587e2d;Deposit;101,62245624862064;SUSHI;101,62245624862064;SUSHI;Deposit 101.62245624862064 SUSHI From SushiSwap: MasterChef LP Staking Pool;0xc2edad668740f1aa35e4d8f227fb8e17dca888cd (SushiSwap: MasterChef LP Staking Pool);0x915f68fdfe1970fc94daa5d1c0dcc89ab6f9f085;;0;;2020-08-30T22:17:22Z;1598815042
0x5a38f31c6ed1045b53f20fea1dbf51e1c60ad79f03fd7e2eb87667b238ab430a;https://etherscan.io/tx/0x5a38f31c6ed1045b53f20fea1dbf51e1c60ad79f03fd7e2eb87667b238ab430a;Deposit;1;Ether;1;Ether;Withdraw 1 Ether From  Binance;0x0681d8db095565fe8a346fa0277bffde9c0edbbf (Binance 4);0x915f68fdfe1970fc94daa5d1c0dcc89ab6f9f085;;0;;2020-09-02T15:30:21Z;1599049821
0x94cb2d9f2d4b6d278b0a44b4e1676ebc09807f46551176eea329e97073d23b17;https://etherscan.io/tx/0x94cb2d9f2d4b6d278b0a44b4e1676ebc09807f46551176eea329e97073d23b17;Deposit;586,2005353854269;SUSHI;586,2005353854269;SUSHI;Deposit 586.2005353854269 SUSHI From SushiSwap: MasterChef LP Staking Pool;0xc2edad668740f1aa35e4d8f227fb8e17dca888cd (SushiSwap: MasterChef LP Staking Pool);0x915f68fdfe1970fc94daa5d1c0dcc89ab6f9f085;Ether;0,05706928204463;0x915f68fdfe1970fc94daa5d1c0dcc89ab6f9f085;2020-09-02T22:54:30Z;1599076470
0x0a2371d6c15b7f41a430ffeee70e43119844fda895f6f4395844d4b1ffc5e0be;https://etherscan.io/tx/0x0a2371d6c15b7f41a430ffeee70e43119844fda895f6f4395844d4b1ffc5e0be;Withdrawl;0,6581;Ether;0,6581;Ether;Withdrawal 0.6581 Ether To 0x0076f45582fc3533c82a8ab08c8f719bb70abfd8;0x915f68fdfe1970fc94daa5d1c0dcc89ab6f9f085;0x0076f45582fc3533c82a8ab08c8f719bb70abfd8;Ether;0,007371;0x915f68fdfe1970fc94daa5d1c0dcc89ab6f9f085;2020-09-02T22:54:30Z;1599076470
0x44af6afbb95b28525d2eea3019ff81805d3cbb77338ea2033f0470d12e356619;https://etherscan.io/tx/0x44af6afbb95b28525d2eea3019ff81805d3cbb77338ea2033f0470d12e356619;Deposit;0,8241192225808667;Ether;0,8241192225808667;Ether;Deposit 0.8241192225808667 Ether From 0x7cf22917643f15520121a6eece65be4a609cce5b;0x7cf22917643f15520121a6eece65be4a609cce5b;0x915f68fdfe1970fc94daa5d1c0dcc89ab6f9f085;;0;;2020-09-03T00:00:23Z;1599080423
0x7e588c96d3d3b8c8286aec3cda47140e89afdff1da216a4f0f568c6826215afb;https://etherscan.io/tx/0x7e588c96d3d3b8c8286aec3cda47140e89afdff1da216a4f0f568c6826215afb;Fee;0;;0;;Approved  SUSHI For Trade On  Zapper.Fi: Uniswap V2 Zap In;0x915f68fdfe1970fc94daa5d1c0dcc89ab6f9f085;;Ether;0,015229335;0x915f68fdfe1970fc94daa5d1c0dcc89ab6f9f085;2020-09-03T13:23:19Z;1599128599
0xc444537433af755ec878d55e199a0f29bb1b195ba6a219a09d0bcde1dc091ca0;https://etherscan.io/tx/0xc444537433af755ec878d55e199a0f29bb1b195ba6a219a09d0bcde1dc091ca0;Fee;0;;0;;Loss on fail transaction;0x915f68fdfe1970fc94daa5d1c0dcc89ab6f9f085;;Ether;0,0918606312;0x915f68fdfe1970fc94daa5d1c0dcc89ab6f9f085;2020-09-03T23:02:39Z;1599163359
0x6c6fa9a1589b10bd4bb6d69332a8079e3ab43953391e77a4de53d5564b524eca;https://etherscan.io/tx/0x6c6fa9a1589b10bd4bb6d69332a8079e3ab43953391e77a4de53d5564b524eca;Deposit;232,6906050975438;SUSHI;232,6906050975438;SUSHI;Deposit 232.6906050975438 SUSHI From SushiSwap: MasterChef LP Staking Pool;0xc2edad668740f1aa35e4d8f227fb8e17dca888cd (SushiSwap: MasterChef LP Staking Pool);0x915f68fdfe1970fc94daa5d1c0dcc89ab6f9f085;Ether;0,0164955876;0x915f68fdfe1970fc94daa5d1c0dcc89ab6f9f085;2020-09-04T12:34:55Z;1599212095
0x60e86375198dc1cf717cb8fb8559479501d8acafc246b9ec02dce4592854ba1a;https://etherscan.io/tx/0x60e86375198dc1cf717cb8fb8559479501d8acafc246b9ec02dce4592854ba1a;Withdrawl;920,5135;SUSHI;920,5135;SUSHI;Withdrawal 920.5135 SUSHI To Zapper.Fi: Uniswap V2 Zap In;0x915f68fdfe1970fc94daa5d1c0dcc89ab6f9f085;0x80c5e6908368cb9db503ba968d7ec5a565bfb389 (Zapper.Fi: Uniswap V2 Zap In);Ether;0,086815845;0x915f68fdfe1970fc94daa5d1c0dcc89ab6f9f085;2020-09-04T13:49:59Z;1599216599
0x60e86375198dc1cf717cb8fb8559479501d8acafc246b9ec02dce4592854ba1a;https://etherscan.io/tx/0x60e86375198dc1cf717cb8fb8559479501d8acafc246b9ec02dce4592854ba1a;Deposit;52,913388079831606;UNI-V2;52,913388079831606;UNI-V2;Deposit 52.913388079831606 UNI-V2 From Zapper.Fi: Uniswap V2 Zap In;0x80c5e6908368cb9db503ba968d7ec5a565bfb389 (Zapper.Fi: Uniswap V2 Zap In);0x915f68fdfe1970fc94daa5d1c0dcc89ab6f9f085;;0;;2020-09-04T13:49:59Z;1599216599
0x315164253882474b9641e7bec3d1bb5b937f0e1ecd82f013a5890ab91a57fc3e;https://etherscan.io/tx/0x315164253882474b9641e7bec3d1bb5b937f0e1ecd82f013a5890ab91a57fc3e;Fee;0;;0;;Loss on fail transaction;0x915f68fdfe1970fc94daa5d1c0dcc89ab6f9f085;;Ether;0,03189602;0x915f68fdfe1970fc94daa5d1c0dcc89ab6f9f085;2020-09-04T13:50:26Z;1599216626
